"さて、１２月の『クリスタルウィンター』まで
６ヶ月を切ったわけだが……","Now then, it's less than six months until the Crystal Winter in December..","Now, until ""Crystal Winter"" in December.
So less than 6 months to go. ......","Now then, it's less than six months until
the Crystal Winter in December..","Now, we have less than six months until
December's 'Crystal Winter'..."
"メリハリは大事だからね。
やるときはやる、って感じかな！","It's important to be firm, you know. When it comes time for a fight!","Merriment is important.
I guess I'll do it when I have to do it!","It's important to be firm, you
know. When it comes time for a fight!","Having a good balance is important, you know. It's like
giving it your all when it's time to do something!"
"実際、レッスンの効果は出ている気がするわ。
意外とこの方法、アリなのかもしれないわね","As a matter of fact, I feel like the lessons are working. Maybe this method is surprisingly effective?","I actually feel like the lessons are paying off.
Maybe this method is more likely than you think.","As a matter of fact, I feel like the lessons are working.
Maybe this method is surprisingly effective?",""
"（自分へのご褒美でモチベを保っている感じか。
なるほど……今後の参考にしよう）","(So she's trying to keep her motivation up as a reward for herself. I see... Let me use that information in the future, then)","(You feel like you're rewarding yourself to keep you motivated.
I see. ...... for future reference)","(So she's trying to keep her motivation up as a reward for herself.
I see... Let me use that information in the future, then)","(Seems like they're keeping their motivation by rewarding themselves.
I see... I should keep that in mind for the future.)"
"Ｐちゃん、ばっちりだゆ☆
きらりたち、あれからモリモリ頑張ったんだよぉ♪","P-chan, it's perfect☆ Kira and the others did their best after that♪","P-chan, you're perfect!
Kirari and the others have worked hard since then.","P-chan, it's perfect☆ Kira and the
others did their best after that♪",""
"あ～、兄ちゃん、もしかして疑ってる～？","Ahh, Nii-chan. Are you doubting me?","Oh, brother, maybe you're doubting me~?","Ahh, Nii-chan. Are you doubting me?",""
"真美たちは、やればできる子なんだかんね！
振り付けだって、だいたい覚えたし♪","You can do it if you try, after all! I've learned most of the choreography♪","Mami and her friends are the kind of kids who can do it!
I've learned most of the choreography","You can do it if you try, after all! I've
learned most of the choreography♪",""
"やれば……できる子……！
て、甜花も……なれるかな……","If I try...I can do it! T-Tenka, will you be able to become one too?","If you do it, you can ...... child who can ......!
I wonder if I can ...... be a beet too ......","If I try...I can do it! T-Tenka, will
you be able to become one too?",""
"んっふっふ～♪　ま、真美たちにかかれば
おちゃのこさいさいってやつだね！","Heheh~♪ Well, when it comes to Mami and the others you're always so small-minded!","Well, if it's up to Mami and her friends...
It's called being a little girl!","Heheh~♪ Well, when it comes to Mami and the
others you're always so small-minded!",""
"そうそう！
へそでちゃをわかす、ってやつだね！","Yeah, that's right! You dodged the question with your belly button","Yes, yes!
It's called making tea with the navel!","Yeah, that's right! You dodged the
question with your belly button",""
"お茶……？","Tea...?","Tea ......?","Tea...?",""
"結果良ければ全て良し……。
ってことかな……？","As long as the results are good, everything will be fine... I guess that's how it is","All's well that ends well. ......
Does that mean ......?","As long as the results are good,
everything will be fine... I guess that's how it is",""
"私もなんとか……。四条さんと秋月さんの居残り
練習のおかげで覚えることができました","Somehow... I was able to learn it because of Shijou and Akizuki's practice","I also managed to get ....... Shijo and Akizuki's detention.
Thanks to practice, I was able to learn.","Somehow... I was able to learn it because
of Shijou and Akizuki's practice",""
"（律子がフォローしてくれたのか……ありがたい）","(So Ritsuko followed up... I'm grateful.)","(Ritsuko followed up with ...... thank goodness)","(So Ritsuko followed up... I'm grateful.)",""
"なるほど、居残り練習をしてたのか？","I see. So you stayed behind to practice?","I see. You were practicing for detention?","I see. So you stayed behind to practice?",""
"はい。亜美さんと真美さんの特訓をするとのこと
でしたので、私も参加させていただきました","Yes. You said you were going to be training with Ami-san and Mamimi, so I joined in as well","Yes, they are going to train Ami and Mami.
I was able to participate in the event because it was","Yes. You said you were going to be training with
Ami-san and Mamimi, so I joined in as well",""
"うう……帰ってテレビ見ようと思ってたのに！
律っちゃんの鬼軍曹！","Ugh... I was going to go home and watch TV! Ritsucchan's demon sergeant!!","Ugh ...... I was going to go home and watch TV!
Ritsu's demon sergeant!","Ugh... I was going to go home and watch
TV! Ritsucchan's demon sergeant!!",""
"そのお陰で、亜美と真美も振り付けを
覚えられたのか……。律子に感謝だな","Thanks to that, Ami and Mami learned the choreography too... I'm grateful for Ritsuko","Thanks to them, Ami and Mami also choreographed
You could remember. ....... Thanks to Ritsuko.","Thanks to that, Ami and Mami learned the
choreography too... I'm grateful for Ritsuko",""
"大変ありがたいです……。はぁ……うちももっと
すんなり踊りを覚えられたらいいのに……","I'm really grateful. Haah... I wish we could learn how to dance more smoothly, too""","Thank you very much. ....... haha ...... more of ours too!
I wish I could learn to dance easily. ......","I'm really grateful. Haah... I wish we
could learn how to dance more smoothly, too",""
"紬、人には得手不得手というものがあります。
一歩ずつ、確実に学んでいきましょう","Tsumugi, people have their strengths and weaknesses. Let's learn one step at a time for sure!","Pongee, people have strengths and weaknesses.
Let's learn step by step, surely!","Tsumugi, people have their strengths and weaknesses.
Let's learn one step at a time for sure!",""
